"ID_CIDADE,""DES_CIDADE"",""DES_SIGLA_ESTADO"",""DES_REGIAO_IBGE"""
"15456,""SANTO ANTONIO DOS QUILOMBOLAS"",""MG"",""SUDESTE"""
"15457,""GUALDRAPAS"",""CE"",""NORDESTE"""
"15458,""CORREGO FUNDO"",""CE"",""NORDESTE"""
"15459,""FLECHEIRAS"",""CE"",""NORDESTE"""
"8377,""BLUMENAU"",""SC"",""SUL"""
"8378,""BOCAINA DO SUL"",""SC"",""SUL"""
"8379,""BOITEUXBURGO"",""SC"",""SUL"""
"8380,""BOM JARDIM DA SERRA"",""SC"",""SUL"""
"8381,""BOM JESUS"",""SC"",""SUL"""
"8382,""BOM JESUS DO OESTE"",""SC"",""SUL"""
"8383,""BOM RETIRO"",""SC"",""SUL"""
"8384,""BOM SUCESSO"",""SC"",""SUL"""
"8385,""BOMBINHAS"",""SC"",""SUL"""
"8386,""BOTUVERA"",""SC"",""SUL"""
"8387,""BRACO DO NORTE"",""SC"",""SUL"""
"8388,""BRACO DO TROMBUDO"",""SC"",""SUL"""
"8389,""BRUNOPOLIS"",""SC"",""SUL"""
"8390,""BRUSQUE"",""SC"",""SUL"""
"8391,""CACADOR"",""SC"",""SUL"""
"8392,""CACHOEIRA DE FATIMA"",""SC"",""SUL"""
"8393,""CACHOEIRA DO BOM JESUS"",""SC"",""SUL"""
"8394,""CAIBI"",""SC"",""SUL"""
"8395,""CALMON"",""SC"",""SUL"""
"8396,""CAMBORIU"",""SC"",""SUL"""
"8177,""SAO VALERIO DO SUL"",""RS"",""SUL"""
"8178,""SAO VENDELINO"",""RS"",""SUL"""
"8179,""SAO VICENTE DO SUL"",""RS"",""SUL"""
"8180,""SAPIRANGA"",""RS"",""SUL"""
"8181,""SAPUCAIA DO SUL"",""RS"",""SUL"""
"8182,""SARANDI"",""RS"",""SUL"""
"8183,""SCHARLAU"",""RS"",""SUL"""
"8184,""SEBERI"",""RS"",""SUL"""
"8186,""SEDE AURORA"",""RS"",""SUL"""
"12103,""SEDE INDEPENDENCIA"",""RS"",""SUL"""
"8187,""SEDE NOVA"",""RS"",""SUL"""
"8188,""SEGREDO"",""RS"",""SUL"""
"8189,""SEGREDO"",""RS"",""SUL"""
"8190,""SEIVAL"",""RS"",""SUL"""
"8191,""SELBACH"",""RS"",""SUL"""
"8192,""SENADOR SALGADO FILHO"",""RS"",""SUL"""
"8193,""SENTINELA DO SUL"",""RS"",""SUL"""
"8194,""SERAFIM SCHMIDT"",""RS"",""SUL"""
"8195,""SERAFINA CORREA"",""RS"",""SUL"""
"8196,""SERIO"",""RS"",""SUL"""
"8197,""SERRA DOS GREGORIOS"",""RS"",""SUL"""
"8198,""SERRINHA"",""RS"",""SUL"""
"11179,""SERRINHA VELHA"",""RS"",""SUL"""
"8199,""SERTAO"",""RS"",""SUL"""
"8200,""SERTAO SANTANA"",""RS"",""SUL"""
"8201,""SERTAOZINHO"",""RS"",""SUL"""
"8202,""SETE DE SETEMBRO"",""RS"",""SUL"""
"8203,""SETE DE SETEMBRO"",""RS"",""SUL"""
"8204,""SETE DE SETEMBRO"",""RS"",""SUL"""
"8205,""SETE LAGOAS"",""RS"",""SUL"""
"8206,""SEVERIANO DE ALMEIDA"",""RS"",""SUL"""
"8207,""SILVA JARDIM"",""RS"",""SUL"""
"8208,""SILVEIRA"",""RS"",""SUL"""
"8209,""SILVEIRA MARTINS"",""RS"",""SUL"""
"8210,""SINIMBU"",""RS"",""SUL"""
"8211,""SIRIO"",""RS"",""SUL"""
"8212,""SITIO GABRIEL"",""RS"",""SUL"""
"8213,""SOBRADINHO"",""RS"",""SUL"""
"8214,""SOLEDADE"",""RS"",""SUL"""
"8215,""SOUZA RAMOS"",""RS"",""SUL"""
"8216,""SUSPIRO"",""RS"",""SUL"""
"7228,""PARELHAS"",""RN"",""NORDESTE"""
"7229,""PARNAMIRIM"",""RN"",""NORDESTE"""
"7230,""PASSA E FICA"",""RN"",""NORDESTE"""
"7231,""PASSAGEM"",""RN"",""NORDESTE"""
"7232,""PATU"",""RN"",""NORDESTE"""
"7233,""PAU DOS FERROS"",""RN"",""NORDESTE"""
"7234,""PEDRA GRANDE"",""RN"",""NORDESTE"""
"7235,""PEDRA PRETA"",""RN"",""NORDESTE"""
"7236,""PEDRO AVELINO"",""RN"",""NORDESTE"""
"7237,""PEDRO VELHO"",""RN"",""NORDESTE"""
"7238,""PENDENCIAS"",""RN"",""NORDESTE"""
"7240,""POCO BRANCO"",""RN"",""NORDESTE"""
"7241,""PORTALEGRE"",""RN"",""NORDESTE"""
"7242,""PORTO DO MANGUE"",""RN"",""NORDESTE"""
"7243,""PUREZA"",""RN"",""NORDESTE"""
"7244,""RAFAEL FERNANDES"",""RN"",""NORDESTE"""
"7245,""RAFAEL GODEIRO"",""RN"",""NORDESTE"""
"7246,""RIACHO DA CRUZ"",""RN"",""NORDESTE"""
"7247,""RIACHO DE SANTANA"",""RN"",""NORDESTE"""
"7248,""RIACHUELO"",""RN"",""NORDESTE"""
"7249,""RIO DO FOGO"",""RN"",""NORDESTE"""
"7250,""RODOLFO FERNANDES"",""RN"",""NORDESTE"""
"7251,""ROSARIO"",""RN"",""NORDESTE"""
"7252,""RUY BARBOSA"",""RN"",""NORDESTE"""
"7253,""SALVA VIDA"",""RN"",""NORDESTE"""
"7254,""SANTA CRUZ"",""RN"",""NORDESTE"""
"7255,""SANTA FE"",""RN"",""NORDESTE"""
"7256,""SANTA MARIA"",""RN"",""NORDESTE"""
"7257,""SANTA TERESA"",""RN"",""NORDESTE"""
"7258,""SANTANA DO MATOS"",""RN"",""NORDESTE"""
"7260,""SANTO ANTONIO"",""RN"",""NORDESTE"""
"7261,""SANTO ANTONIO DO POTENGI"",""RN"",""NORDESTE"""
"7262,""SAO BENTO DO NORTE"",""RN"",""NORDESTE"""
"7263,""SAO BENTO DO TRAIRI"",""RN"",""NORDESTE"""
"7264,""SAO BERNARDO"",""RN"",""NORDESTE"""
"7265,""SAO FERNANDO"",""RN"",""NORDESTE"""
"7266,""SAO FRANCISCO DO OESTE"",""RN"",""NORDESTE"""
"7267,""SAO GERALDO"",""RN"",""NORDESTE"""
"7268,""SAO GONCALO DO AMARANTE"",""RN"",""NORDESTE"""
"7269,""SAO JOAO DO SABUGI"",""RN"",""NORDESTE"""
"7270,""SAO JOSE DA PASSAGEM"",""RN"",""NORDESTE"""
"7271,""SAO JOSE DE MIPIBU"",""RN"",""NORDESTE"""
"7272,""SAO JOSE DO CAMPESTRE"",""RN"",""NORDESTE"""
"7273,""SAO JOSE DO SERIDO"",""RN"",""NORDESTE"""
"7274,""SAO MIGUEL"",""RN"",""NORDESTE"""
"7275,""SAO MIGUEL DO GOSTOSO"",""RN"",""NORDESTE"""
"7276,""SAO PAULO DO POTENGI"",""RN"",""NORDESTE"""
"7277,""SAO PEDRO"",""RN"",""NORDESTE"""
"7278,""SAO RAFAEL"",""RN"",""NORDESTE"""
"7279,""SAO TOME"",""RN"",""NORDESTE"""
"7280,""SAO VICENTE"",""RN"",""NORDESTE"""
"7281,""SENADOR ELOI DE SOUZA"",""RN"",""NORDESTE"""
"7282,""SENADOR GEORGINO AVELINO"",""RN"",""NORDESTE"""
"7283,""SERRA CAIADA"",""RN"",""NORDESTE"""
"7285,""SERRA DE SAO BENTO"",""RN"",""NORDESTE"""
"7286,""SERRA DO MEL"",""RN"",""NORDESTE"""
"7287,""SERRA NEGRA DO NORTE"",""RN"",""NORDESTE"""
"7288,""SERRINHA"",""RN"",""NORDESTE"""
"7289,""SERRINHA DOS PINTOS"",""RN"",""NORDESTE"""
"7290,""SEVERIANO MELO"",""RN"",""NORDESTE"""
"7291,""SITIO NOVO"",""RN"",""NORDESTE"""
"7292,""TABOLEIRO GRANDE"",""RN"",""NORDESTE"""
"7293,""TAIPU"",""RN"",""NORDESTE"""
"7294,""TANGARA"",""RN"",""NORDESTE"""
"7295,""TENENTE ANANIAS"",""RN"",""NORDESTE"""
"7296,""TENENTE LAURENTINO CRUZ"",""RN"",""NORDESTE"""
"7297,""TIBAU"",""RN"",""NORDESTE"""
"7298,""TIBAU DO SUL"",""RN"",""NORDESTE"""
"7299,""TIMBAUBA DOS BATISTAS"",""RN"",""NORDESTE"""
"7300,""TOUROS"",""RN"",""NORDESTE"""
"7301,""TRAIRI"",""RN"",""NORDESTE"""
"7302,""TRIUNFO POTIGUAR"",""RN"",""NORDESTE"""
"7303,""UMARIZAL"",""RN"",""NORDESTE"""
"7304,""UPANEMA"",""RN"",""NORDESTE"""
"7305,""VARZEA"",""RN"",""NORDESTE"""
"7306,""VENHA-VER"",""RN"",""NORDESTE"""
"7307,""VERA CRUZ"",""RN"",""NORDESTE"""
"7308,""VICOSA"",""RN"",""NORDESTE"""
"7309,""VILA FLOR"",""RN"",""NORDESTE"""
"7388,""ACEGUA"",""RS"",""SUL"""
"7389,""AFONSO RODRIGUES"",""RS"",""SUL"""
"7390,""AGUA SANTA"",""RS"",""SUL"""
"11100,""AGUAPES"",""RS"",""SUL"""
"7391,""AGUAS CLARAS"",""RS"",""SUL"""
"7392,""AGUDO"",""RS"",""SUL"""
"7394,""ALBARDAO"",""RS"",""SUL"""
"7395,""ALECRIM"",""RS"",""SUL"""
"7396,""ALEGRETE"",""RS"",""SUL"""
"7397,""ALEGRIA"",""RS"",""SUL"""
"7398,""ALFREDO BRENNER"",""RS"",""SUL"""
"7399,""ALMIRANTE TAMANDARE DO SUL"",""RS"",""SUL"""
"7400,""ALPESTRE"",""RS"",""SUL"""
"7402,""ALTO ALEGRE"",""RS"",""SUL"""
"7403,""ALTO DA UNIAO"",""RS"",""SUL"""
"7404,""ALTO FELIZ"",""RS"",""SUL"""
"7405,""ALTO PAREDAO"",""RS"",""SUL"""
"7406,""ALTO RECREIO"",""RS"",""SUL"""
"7407,""ALTO URUGUAI"",""RS"",""SUL"""
"7408,""ALVORADA"",""RS"",""SUL"""
"7409,""AMARAL FERRADOR"",""RS"",""SUL"""
"7411,""ANDRE DA ROCHA"",""RS"",""SUL"""
"7412,""ANTA GORDA"",""RS"",""SUL"""
"7413,""ANTONIO KERPEL"",""RS"",""SUL"""
"7414,""ANTONIO PRADO"",""RS"",""SUL"""
"7415,""ARAMBARE"",""RS"",""SUL"""
"7416,""ARARICA"",""RS"",""SUL"""
"7417,""ARATIBA"",""RS"",""SUL"""
"7418,""ARCO VERDE"",""RS"",""SUL"""
"7420,""ARROIO CANOAS"",""RS"",""SUL"""
"7421,""ARROIO DO MEIO"",""RS"",""SUL"""
"7422,""ARROIO DO PADRE"",""RS"",""SUL"""
"7423,""ARROIO DO SAL"",""RS"",""SUL"""
"7424,""ARROIO DO SO"",""RS"",""SUL"""
