"MES_REFERENCIA,""NUM_CNPJ"",""QTD_CONSUMO"""
30/09/2021 00:00:00,11924000193,1244
31/10/2021 00:00:00,11924000193,1923
30/11/2021 00:00:00,11924000193,2517
31/12/2021 00:00:00,11924000193,0
31/01/2022 00:00:00,11924000193,0
28/02/2022 00:00:00,11924000193,0
30/09/2021 00:00:00,136575000136,33
31/10/2021 00:00:00,136575000136,822
30/11/2021 00:00:00,136575000136,123
31/12/2021 00:00:00,136575000136,1873
31/01/2022 00:00:00,136575000136,514
28/02/2022 00:00:00,136575000136,1049
30/09/2021 00:00:00,186050000105,389
31/10/2021 00:00:00,186050000105,1922
30/11/2021 00:00:00,186050000105,3087
31/12/2021 00:00:00,186050000105,0
31/01/2022 00:00:00,186050000105,0
28/02/2022 00:00:00,186050000105,0
30/09/2021 00:00:00,203611000137,214
31/10/2021 00:00:00,203611000137,2581
