"NUM_CNPJ,""ID_CIDADE"",""ID_CNAE"",""ORIGEM"""
"28454767000100,7041,1050,""SPC"""
"19072238000150,4163,846,""SPC"""
"4909019000106,1007,178,""CONCORRENTE"""
"8298352000187,1778,376,""SPC"""
"34616262000105,8262,1263,""CONCORRENTE"""
"32034536000114,7358,1144,""CONCORRENTE"""
"10740078000104,2165,586,""CONCORRENTE"""
"1956942000100,355,162,""CONCORRENTE"""
"13573707000139,2754,666,""SPC"""
"29476964000192,7043,1078,""CONCORRENTE"""
"35749143000185,8452,1307,""SPC"""
"10503673000118,2069,568,""CONCORRENTE"""
"27757044000117,6989,1049,""SPC"""
"14523386000120,2816,748,""CONCORRENTE"""
"13427643000168,2754,657,""CONCORRENTE"""
"21940315000199,5302,940,""CONCORRENTE"""
"22529822000105,5445,988,""SPC"""
"27782572000126,6989,1049,""CONCORRENTE"""
"9241429000145,2028,403,""SPC"""
"6272793023630,1347,217,""CONCORRENTE"""
"4474059000172,988,178,""SPC"""
"20176802000164,4565,859,""CONCORRENTE"""
"11284012000101,2174,586,""SPC"""
"1488832000161,243,160,""CONCORRENTE"""
"97519875000136,11677,,""CONCORRENTE"""
"26405130000106,6851,1042,""SPC"""
"35467998000113,8390,1298,""SPC"""
"78586278000180,8770,,""CONCORRENTE"""
"24102094000178,6015,1028,""SPC"""
"33033949000147,7880,1196,""CONCORRENTE"""
"34155524000173,8057,1262,""SPC"""
"24343526000132,6015,1028,""SPC"""
"18093761000109,4048,843,""CONCORRENTE"""
"41446014000382,8528,,""CONCORRENTE"""
"436767000168,30,63,""CONCORRENTE"""
"13953889000173,2754,711,""SPC"""
"7982277000106,1778,376,""SPC"""
"69140846000123,8618,,""SPC"""
"35384899000178,8385,1296,""SPC"""
"19070241000135,4163,846,""CONCORRENTE"""
"26049061000137,6680,1029,""SPC"""
"924787000188,120,160,""CONCORRENTE"""
"18420615000132,4098,843,""CONCORRENTE"""
"31710424000173,7221,1121,""SPC"""
